,FIPS,crime_per_10k_y,full_pred,live 2a1w1c,min 1a1c,pct_less_hs,pct_hs,pct_some_college,pct_college,unemployment_rate_2019,median_household_income_2019,Food,Medical,Housing,Transportation,Civic,Other,Required annual income after taxes,Annual taxes,Required annual income before taxes
740,18117,11.288998357963877,293.13344286420386,238.18987766331554,238.18987766331554,237.84267295309712,207.0702901398226,222.80261897929952,220.0615797465957,223.4109551924665,227.22459553743326,224.44393837329645,254.7401455315663,222.33676573711747,222.33676573711747,222.33676573711747,222.33676573711747,219.77388481000852,102.00329245804538,75.97694233542549
741,18119,6.250901572342165,296.2245902950374,250.1308573471426,250.1308573471426,249.6011257826583,215.83223001036848,225.87030448512505,223.6889381805216,223.90883582414742,224.76829233700536,223.85267336283985,245.01497776021444,210.02547752362526,210.02547752362526,210.02547752362526,210.02547752362526,212.2305698743337,103.53787390525778,75.09860784935067
742,18121,0.0,323.2784822559947,268.76408048174443,268.76408048174443,265.07958570062,226.23093514280143,216.18576443689358,218.76039615074433,226.46757604121944,229.5109586640429,229.5109586640429,253.28854411632474,238.68413690000108,238.68413690000108,238.68413690000108,240.9419317252622,245.46333589276347,115.64749881787546,98.55456923296634
743,18123,36.64537744738771,285.5429300490239,264.707596452635,264.707596452635,264.9924421740402,248.529922863777,240.09684474506815,286.33276115365015,280.1445733383691,260.5473892437703,259.6317702696048,280.6525483764192,241.77043251410794,241.77043251410794,241.77043251410794,242.17938690946437,246.82659661227302,102.8338549530316,76.69430379501284
744,18125,48.40661557079467,312.62766348880547,261.08515435698627,261.08515435698627,272.03062532085914,235.82477730424057,227.09807729081766,233.0051988895129,235.47521237825848,229.51345245707125,228.5978334829057,260.2195689562535,224.10064253069297,224.10064253069297,224.10064253069297,224.10064253069297,229.11683466213123,99.8945630014933,75.96632901861474
745,18127,80.66738188618629,348.4381304063733,273.2336570871833,273.2336570871833,263.26001638386356,263.17098322607495,233.7530353337444,234.5691275503952,228.07687003774734,219.34631140701507,218.4675994954528,163.50687793561372,166.1659156194973,166.1659156194973,166.1659156194973,167.03349786795607,173.08288392001222,126.22477111022089,125.42852342579265
746,18129,10.795681727309075,331.1534135164175,266.71392033931204,266.71392033931204,258.82989785156593,220.5466342135682,215.4867480357652,231.57806546115165,225.2357366405994,214.45316001812714,214.49006708073037,227.8844149682305,222.34730461799174,222.34730461799174,222.34730461799174,224.51378856314506,234.5654037622467,132.19478543421775,108.0586710919016
747,18131,123.48668280871672,268.4911177973171,253.63109974809507,253.63109974809507,267.0106799665213,237.2322520447218,230.68763826261306,229.45552468418967,230.62973240157874,227.91565207015378,226.28802626424485,260.7731115977457,224.40594153842804,224.40594153842804,224.40594153842804,224.40594153842804,227.8735384365787,97.44673574723586,74.19091256851347
748,18133,15.328910854454634,314.2061085344031,250.67717735142654,250.67717735142654,257.55039932391384,215.86975985357236,210.7535655095332,216.808329589656,215.0067546398608,209.11140963000403,208.175783699261,217.43216436045392,205.30840455721125,205.30840455721125,205.30840455721125,208.84273602628755,218.6184926028444,106.7272240171017,90.05801093131917
749,18135,67.10052952827519,301.7973386187798,262.4893782557469,262.4893782557469,271.61253654001575,235.67007395563945,227.45025159617708,242.02082001448915,249.7654127872991,242.25673917601864,241.3411202018531,263.5458669943684,230.11744548822494,230.11744548822494,230.11744548822494,230.11744548822494,235.17127202718083,103.22819127843019,77.85623957733512
750,18137,49.749500753249485,307.5582184182554,259.5064498199311,259.5064498199311,277.4260640443892,241.22615374164633,249.48710855601584,294.3112960384592,283.8955169481614,270.9972128439597,270.0815938697942,301.6597380832563,262.88864952972676,262.88864952972676,262.88864952972676,263.29760392508325,265.92428753250175,104.64849840838797,76.37099114210075
751,18139,160.16377649325625,271.26408302068785,247.7496386313417,247.7496386313417,257.7616147558655,226.62407994839765,238.92758452265994,252.77704999488836,248.27429817591363,241.37469500363355,239.7470691977246,276.60194304880656,239.52625328784498,239.52625328784498,239.52625328784498,239.52625328784498,241.49101373656598,99.92037111320151,75.88594402937123
