,FIPS,crime_per_10k_y,live 2a1w1c,min 1a1c,pct_less_hs,pct_hs,pct_some_college,pct_college,unemployment_rate_2019,median_household_income_2019,Food,Medical,Housing,Transportation,Civic,Other,Required annual income after taxes,Annual taxes,Required annual income before taxes
63,1127,245.56638188335992,0.3230255320957829,0.2722840485566771,0.2764658841803167,0.26834458837232167,0.2694347383949396,0.3056859243780392,0.2688783822154952,0.36941531629065816,0.36941531629065816,0.3273412850303581,0.25133814519039466,0.2182425697458359,0.2182425697458359,0.21057580901107031,0.23341740700483427,0.24953574341784646,0.39516235696205726
69,2020,425.1540501371073,-0.05130065445179888,-0.05063639680076759,-0.09186798465671975,-0.09548615578347308,-0.08886776014620079,-0.08709748673581275,-0.04048498906940101,-0.034587166772850786,-0.01596092710187269,-0.01596092710187269,-0.01777086632027458,-0.01777086632027458,-0.01777086632027458,-0.01777086632027458,-0.1375544989481161,-0.00039149453558917635,0.05133075623189565
73,2090,385.96595643375787,0.035942476237884824,0.03667417763787362,-0.003443810148468951,-0.0029890193855099945,-0.0029890193855099945,-0.003707149685141964,-0.006596738410744263,0.00957756696201506,0.03448877350906754,0.034852401608020944,0.028409180139075785,0.028409180139075785,0.028409180139075785,0.028409180139075785,-0.10146459524337936,0.045302733459897215,0.09369472088770237
77,2150,373.2974609046578,0.08999347548798142,0.09075000844158376,0.08110997270802023,0.07500803513241916,0.08214387212165186,0.0800448091950492,0.08493897619192414,0.104384899007534,0.1264638546801864,0.1264638546801864,0.1232986064559054,0.1232986064559054,0.1232986064559054,0.1232986064559054,-0.04718621722629879,0.08955035931806732,0.14016971015758695
78,2170,690.0298831839175,-0.35203155781181694,-0.3515041051031571,-0.37477809515324856,-0.3865319933198573,-0.3865319933198573,-0.38677889200825866,-0.41556585818598313,-0.4075579666480956,-0.39237717490750323,-0.39237717490750323,-0.4138772951862364,-0.4138772951862364,-0.4138772951862364,-0.4138772951862364,-0.5040142941922595,-0.4256139915395294,-0.38778988190820296
80,2185,336.7003367003367,0.18161250895383496,0.18572110673039788,0.1812616385097634,0.17973509036304458,0.16222297450337475,0.18615394410862374,0.17787140650675703,0.17787140650675703,0.20579858786775174,0.20579858786775174,0.2039343714616879,0.2039343714616879,0.2039343714616879,0.2039343714616879,0.026890949176281653,0.19289663539741375,0.27934921880183294
82,2220,301.9266917293233,0.3096770154438908,0.31118865576919985,0.2732504413357262,0.2664501382717621,0.27551113999112165,0.2714446208244363,0.2994287269395921,0.3172562320519132,0.34600432229496403,0.34600432229496403,0.3398465962770252,0.3398465962770252,0.3398465962770252,0.3398465962770252,0.1716733524044931,0.36283334559091696,0.42157322205353553
85,4003,378.1163105734725,0.11800017787698858,0.11800017787698858,0.10023123521415878,0.10899435450314976,0.10899435450314976,0.11044222094355272,0.07685493597168724,0.08964065122273124,0.1081763608101618,0.06373576796386704,0.013220940765813705,0.013220940765813705,0.013220940765813705,0.013220940765813705,-0.03235457416537646,-0.1197465740507867,-0.0445523683022675
86,4005,561.8566560638154,-0.24574138786980415,-0.24574138786980415,-0.25100354954276094,-0.24839815735311088,-0.24250918341047123,-0.24731674461765984,-0.26072616115145075,-0.2848747725550316,-0.27214846806541626,-0.29925753588395865,-0.29583621813794125,-0.29583621813794125,-0.29583621813794125,-0.29583621813794125,-0.3254401128414689,-0.3771543706233723,-0.3159346310251151
87,4007,768.5464890009081,-0.4528139751210194,-0.4528139751210194,-0.43676295017918143,-0.4360658483485871,-0.4382763169909806,-0.4315985247094313,-0.4515077083736584,-0.43612059200023756,-0.4268328968664582,-0.45284962341910373,-0.4909957562225531,-0.4909957562225531,-0.4909957562225531,-0.4909957562225531,-0.5125797027824365,-0.5584730257255228,-0.5134099090178785
