Name,FIPS, 1-0-1, 1-1-1, 1-2-1, 1-3-1, 2-0-1, 2-1-1, 2-2-1, 2-3-1, 2-0-2, 2-1-2, 2-2-2, 2-3-2,Median Wage,Highschool Diploma,% High School Diploma Only,% Some College or Associates,% Bachelo's Degree or higher,% Civilian Labor Force,Employed,% Unemployed,% Total Crimes
Anderson,47001,125.95,255.25,311.65,393.95,207.5,249.55,283.55,300.35,103.8,140.65,173.5,197.8,49.97352941,0.091555048,0.231305836,0.216900276,0.08192757,0.449865799,0.433956148,0.015909651,97.76590641
Anderson,48001,76.2,155.61,188.88,239.82,126.33,152.82,173.19,185.46,63.15,85.65,105.03,120.39,47.51078431,0.135544353,0.282466075,0.231293809,0.038534581,0.405131038,0.39327026,0.011860778,40.05386554
Andrew,29003,27.32,54.12,63.74,79.54,45.56,55.52,62.92,67.14,22.78,29.88,35.72,39.96,30.79558824,0.055748553,0.251337193,0.198180314,0.167411084,0.543093466,0.528149986,0.014943479,9.925558313
Andrews,48003,27.58,55.96,68.22,85.88,44.38,53.88,60.68,64.3,22.18,30.6,37.64,43.1,36.7245098,0.159537883,0.200913487,0.144331005,0.070177324,0.532563138,0.52041913,0.012144009,34.92745836
Androscoggin,23001,100.94,208.67,261.73,334.46,163.38,195.72,222.04,237.16,81.69,114.66,144.62,168.98,28.90098039,0.06601643,0.238395163,0.214848073,0.153105571,0.498069984,0.484708338,0.013361646,46.5183239
Angelina,48005,66.65,129.3,156.4,197.1,107.05,127.6,144.6,153.65,53.55,71.2,87.05,98.95,25.36764706,0.119798599,0.20924822,0.22169107,0.112205567,0.413912842,0.397360958,0.016551884,60.4201632
Anne Arundel,24003,31.68,68.36,85.04,110.32,51.62,62.44,69.62,75.7,25.82,36.94,46.26,55.34,49.46862745,0.050640787,0.158504473,0.180615407,0.279302894,0.545793449,0.529622056,0.016171393,60.46635762
Anoka,27003,175.01,366.63,466.73,613.25,284.57,336.93,378.18,420.97,142.23,199.1,255.09,307.67,40.86421569,0.039454556,0.1829524,0.233283959,0.20002913,0.546235507,0.529837559,0.016397948,44.57427718
Anson,37007,27.06,55.68,70.48,90.88,43.88,51.78,59.06,62.74,21.94,30.64,39.02,45.62,20.0127451,0.157333938,0.328406257,0.238857402,0.092133303,0.489276808,0.469553389,0.019723419,53.50260712
Antelope,31003,25.78,56.6,70,89.14,46.6,54.34,61.82,65.58,23.3,31.16,38.9,44.76,24.8877451,0.049086577,0.236219222,0.28482923,0.128355838,0.572200159,0.558061954,0.014138205,1.588562351
Antrim,26009,12.55,29.21,39.05,51.85,21.44,24.76,28.38,30.38,10.72,15.99,21.41,26.02,28.58676471,0.0621399,0.235030515,0.232939268,0.214886262,0.440058043,0.417865221,0.022192821,8.108915539
Apache,4001,53.28,109.4,136.24,174.72,90.36,105.68,120.6,129.56,45.2,60.64,75.92,88.24,17.34607843,0.133427243,0.219490768,0.244164735,0.083746081,0.309477288,0.278290241,0.031187047,6.210145257
Appanoose,19007,27.1,56.56,71.42,89.6,46.1,54.78,62.38,65.24,23.04,31.18,39.72,45,20.42745098,0.071121215,0.263944142,0.269546156,0.118048226,0.488917756,0.471381018,0.017536738,64.13899489
Appling,13001,26.46,52.5,63.48,80.78,43.56,52.46,59.74,64.14,21.78,29.06,35.54,40.56,21.48088235,0.167046194,0.257970072,0.175721102,0.065495554,0.502873563,0.482758621,0.020114943,60.7243548
Appomattox,51011,14.03,28.01,34.14,43.43,22.56,27.27,30.87,33.07,11.28,15.39,18.95,21.8,26.76911765,0.097214467,0.233637322,0.214777592,0.143867486,0.450586265,0.435572926,0.015013338,8.68540232
Aransas,48007,25.96,53.82,66.12,85.54,43.44,51.68,58.48,63.8,21.72,29.52,36.6,42.94,26.02205882,0.116617709,0.234158624,0.235333613,0.164120856,0.389509022,0.37284935,0.016659673,79.31179186
Arapahoe,8005,191.4,394.9,494.56,652.74,297.33,359.26,400.51,451.77,148.72,213.95,268.84,328.79,40.3745098,0.049367243,0.139305723,0.194006747,0.285778619,0.556917581,0.542371044,0.014546537,63.01616621
Archer,48009,12.31,25.89,31.4,39.95,20.84,25.46,28.86,30.99,10.42,14.25,17.47,20.05,31.24068627,0.069275701,0.254088785,0.222196262,0.171378505,0.468224299,0.455023364,0.013200935,1.168224299
Archuleta,8007,28.84,59.58,74.62,95.44,46.1,56.14,63.64,68.08,23.04,32.78,41.24,48.16,28.2372549,0.058163036,0.159517928,0.259151134,0.281982184,0.516580582,0.500935699,0.015644884,38.92506924
Arenac,26011,12.55,26.16,32.94,42.57,21.26,24.76,28.38,30.25,10.63,14.46,18.36,21.38,21.57696078,0.087455006,0.317957606,0.258298893,0.095520597,0.403346221,0.377416344,0.025929876,12.664978
Arkansas,5001,39.3,83.67,102.72,129.69,67.02,81.21,92.31,97.29,33.51,46.11,57.12,65.1,25.75441176,0.116566564,0.281765701,0.211849087,0.114234066,0.552626975,0.536182868,0.016444108,46.06682605
Arlington,51013,59.6,124.36,156.45,202.24,94.33,113.88,128.29,138.2,47.15,67.72,85.72,101.45,233.3058824,0.041040382,0.056515381,0.081485734,0.136450682,0.650754474,0.638795188,0.011959286,24.84883278
Armstrong,42005,190.72,402.4,504,642.08,323.68,383.84,438.4,465.44,161.76,222.56,280.64,324.8,27.57794118,0.071844779,0.363006803,0.182372861,0.124103847,0.490130876,0.464718265,0.025412612,59.94691723
Armstrong,48011,12.79,26.85,32.73,41.82,21.31,26.05,29.45,31.75,10.66,14.73,18.13,20.99,31.58039216,0.0995671,0.16991342,0.31547619,0.172619048,0.503246753,0.489718615,0.013528139,0
Aroostook,23003,151.14,301.18,368.28,470.47,252.23,297,338.36,366.19,126.06,166.76,205.81,238.04,19.93872549,0.085627002,0.27933835,0.240116236,0.144191938,0.451710007,0.433022875,0.018687132,60.94925862
Ascension,22005,28.6,61.44,75.36,95.16,47.12,58.46,65.74,69.7,23.56,33.52,41.48,47.76,40.72156863,0.071660079,0.203905138,0.18826087,0.166790514,0.518213439,0.497652174,0.020561265,55.01976285
Ashe,37009,26.1,52.4,63.94,82,42.9,51.78,59.06,63.66,21.46,29,35.76,41.18,20.36372549,0.1139331,0.243443579,0.257967415,0.15058133,0.487564435,0.470143357,0.017421078,32.35880649
Ashland,39005,37.68,78.45,96.9,124.44,64.23,76.08,86.88,91.59,32.13,43.35,54.06,62.49,25.76176471,0.077983488,0.281407897,0.175510515,0.141724026,0.513585143,0.492096783,0.02148836,29.17230728
