FIPS,State,County,Food,Medical,Housing,Transportation,Civic,Other,Required annual income after taxes,Annual taxes,Required annual income before taxes
31103,Nebraska,Keya Paha County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31105,Nebraska,Kimball County,7394,7502,8412,11753,3838,5070,43970,12591,56561
31107,Nebraska,Knox County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31109,Nebraska,Lancaster County,7394,7502,10380,11753,3838,5070,45938,13108,59046
31111,Nebraska,Lincoln County,7394,7502,8508,11753,3838,5070,44066,12617,56683
31111,Nebraska,"Lincoln, NE",7394,7502,10294,11753,3838,5070,45852,12035,57887
31113,Nebraska,Logan County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31115,Nebraska,Loup County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31117,Nebraska,McPherson County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31119,Nebraska,Madison County,7394,7502,8580,11753,3838,5070,44138,12635,56773
31121,Nebraska,Merrick County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31123,Nebraska,Morrill County,7394,7502,8772,11753,3838,5070,44330,12686,57016
31125,Nebraska,Nance County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31127,Nebraska,Nemaha County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31129,Nebraska,Nuckolls County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31131,Nebraska,Otoe County,7394,7502,8616,11753,3838,5070,44174,12645,56819
31133,Nebraska,Pawnee County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31135,Nebraska,Perkins County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31137,Nebraska,Phelps County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31139,Nebraska,Pierce County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31141,Nebraska,Platte County,7394,7502,9096,11753,3838,5070,44654,12771,57425
31143,Nebraska,Polk County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31145,Nebraska,Red Willow County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31147,Nebraska,Richardson County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31149,Nebraska,Rock County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31153,Nebraska,Sarpy County,7394,7502,11352,11753,3838,5070,46910,13363,60273
31155,Nebraska,Saunders County,7394,7502,9084,11753,3838,5070,44642,12768,57410
31157,Nebraska,Scotts Bluff County,7394,7502,8700,11753,3838,5070,44258,12667,56925
31161,Nebraska,Sheridan County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31163,Nebraska,Sheridan County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31161,Nebraska,Sherman County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31163,Nebraska,Sherman County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31165,Nebraska,Sioux County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31167,Nebraska,Stanton County,7394,7502,9276,11753,3838,5070,44834,12818,57652
31171,Nebraska,Thomas County,7394,7502,8424,11753,3838,5070,43982,12594,56577
31173,Nebraska,Thurston County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31175,Nebraska,Valley County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31177,Nebraska,Washington County,7394,7502,11352,11753,3838,5070,46910,13363,60273
31179,Nebraska,Wayne County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31181,Nebraska,Webster County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31183,Nebraska,Wheeler County,7394,7502,8376,11753,3838,5070,43934,12582,56516
31185,Nebraska,York County,7394,7502,8376,11753,3838,5070,43934,12582,56516
32001,Nevada,Churchill County,8639,6950,10680,11186,3554,4996,46005,7458,53463
32003,Nevada,Clark County,8639,6950,12960,11186,3554,4996,48285,7828,56113
32005,Nevada,Douglas County,8639,6950,12804,11186,3554,4996,48129,7802,55932
32007,Nevada,Elko County,8639,6950,11532,11186,3554,4996,46857,7596,54454
32009,Nevada,Esmeralda County,8639,6950,8568,11186,3554,4996,43893,7116,51009
32011,Nevada,Eureka County,8639,6950,10692,11186,3554,4996,46017,7460,53477
32013,Nevada,Humboldt County,8639,6950,11580,11186,3554,4996,46905,7604,54509
32015,Nevada,Lander County,8639,6950,12456,11186,3554,4996,47781,7746,55527
32017,Nevada,Lincoln County,8639,6950,8880,11186,3554,4996,44205,7166,51372
32019,Nevada,Lyon County,8639,6950,10032,11186,3554,4996,45357,7353,52710
32021,Nevada,Mineral County,8639,6950,8568,11186,3554,4996,43893,7116,51009
32023,Nevada,Nye County,8639,6950,10056,11186,3554,4996,45381,7357,52738
32027,Nevada,Pershing County,8639,6950,8568,11186,3554,4996,43893,7116,51009
32029,Nevada,Storey County,8639,6950,12852,11186,3554,4996,48177,7810,55988
32031,Nevada,Washoe County,8639,6950,12852,11186,3554,4996,48177,7810,55988
32510,Nevada,Carson City,8639,6950,11316,11186,3554,4996,46641,7561,54203
32033,Nevada,White Pine County,8639,6950,10152,11186,3554,4996,45477,7373,52850
32510,Nevada,"Carson City, NV",8639,6950,11316,11186,3554,4996,46641,7561,54203
33001,New Hampshire,Belknap County,8406,7561,12240,9889,3341,5514,46951,7611,54562
33003,New Hampshire,Carroll County,8406,7561,12024,9889,3341,5514,46735,7576,54311
33005,New Hampshire,Cheshire County,8406,7561,12744,9889,3341,5514,47455,7693,55148
33007,New Hampshire,Coos County,8406,7561,9228,9889,3341,5514,43939,7123,51062
33009,New Hampshire,Grafton County,8406,7561,12012,9889,3341,5514,46723,7574,54297
33011,New Hampshire,Hillsborough County,8406,7561,14808,9889,3341,5514,49519,8028,57546
33013,New Hampshire,Merrimack County,8406,7561,13572,9889,3341,5514,48283,7827,56110
33015,New Hampshire,Rockingham County,8406,7561,17312,9889,3341,5514,52023,8434,60457
33017,New Hampshire,Strafford County,8406,7561,15780,9889,3341,5514,50491,8185,58676
33019,New Hampshire,Sullivan County,8406,7561,11964,9889,3341,5514,46675,7567,54241
34001,New Jersey,Atlantic County,8406,7306,15660,9889,3341,5514,50115,13974,64089
34003,New Jersey,Bergen County,8406,7306,19476,9889,3341,5514,53931,14897,68827
34005,New Jersey,Burlington County,8406,7306,14712,9889,3341,5514,49167,13744,62911
34007,New Jersey,Camden County,8406,7306,14712,9889,3341,5514,49167,13744,62911
34009,New Jersey,Cape May County,8406,7306,15000,9889,3341,5514,49455,13814,63269
34011,New Jersey,Cumberland County,8406,7306,15108,9889,3341,5514,49563,13840,63403
34013,New Jersey,Essex County,8406,7306,17796,9889,3341,5514,52251,14490,66741
34013,New Jersey,Sussex County,8406,7306,17796,9889,3341,5514,52251,14490,66741
34037,New Jersey,Sussex County,8406,7306,17796,9889,3341,5514,52251,14490,66741
34015,New Jersey,Gloucester County,8406,7306,14712,9889,3341,5514,49167,13744,62911
34017,New Jersey,Hudson County,8406,7306,20292,9889,3341,5514,54747,15094,69841
34019,New Jersey,Hunterdon County,8406,7306,21240,9889,3341,5514,55695,15323,71018
34021,New Jersey,Mercer County,8406,7306,17472,9889,3341,5514,51927,14412,66339
34023,New Jersey,Middlesex County,8406,7306,21240,9889,3341,5514,55695,15323,71018
34025,New Jersey,Monmouth County,8406,7306,19668,9889,3341,5514,54123,14943,69066
34027,New Jersey,Morris County,8406,7306,17796,9889,3341,5514,52251,14490,66741
34029,New Jersey,"Ocean City, NJ",8406,7306,15000,9889,3341,5514,49455,11961,61416
34029,New Jersey,Ocean County,8406,7306,19668,9889,3341,5514,54123,14943,69066
34031,New Jersey,Passaic County,8406,7306,19476,9889,3341,5514,53931,14897,68827
34033,New Jersey,Salem County,8406,7306,14712,9889,3341,5514,49167,13744,62911
34035,New Jersey,Somerset County,8406,7306,21240,9889,3341,5514,55695,15323,71018
34039,New Jersey,Union County,8406,7306,17796,9889,3341,5514,52251,14490,66741
34041,New Jersey,Warren County,8406,7306,14052,9889,3341,5514,48507,13585,62092
35001,New Mexico,Bernalillo County,8639,8379,10524,11186,3554,4996,47278,11327,58605
35003,New Mexico,Catron County,8639,8379,8568,11186,3554,4996,45322,10872,56195
35005,New Mexico,Chaves County,8639,8379,9744,11186,3554,4996,46498,11145,57644
35006,New Mexico,Cibola County,8639,8379,8568,11186,3554,4996,45322,10872,56195
35007,New Mexico,Colfax County,8639,8379,8904,11186,3554,4996,45658,10950,56609
35009,New Mexico,Curry County,8639,8379,10560,11186,3554,4996,47314,11335,58649
35011,New Mexico,De Baca County,8639,8379,9432,11186,3554,4996,46186,11073,57259
35013,New Mexico,Dona Ana County,8639,8379,8904,11186,3554,4996,45658,10950,56609
35015,New Mexico,Eddy County,8639,8379,11088,11186,3554,4996,47842,11458,59300
35017,New Mexico,Grant County,8639,8379,8940,11186,3554,4996,45694,10959,56653
35019,New Mexico,Guadalupe County,8639,8379,8568,11186,3554,4996,45322,10872,56195
35021,New Mexico,Harding County,8639,8379,8568,11186,3554,4996,45322,10872,56195
35023,New Mexico,Hidalgo County,8639,8379,8568,11186,3554,4996,45322,10872,56195
35025,New Mexico,Lea County,8639,8379,11412,11186,3554,4996,48166,11533,59699
