fips_state_county_code,population,agg_assault_tot_arrests,arson_tot_arrests,burglary_tot_arrests,mtr_veh_theft_tot_arrests,murder_tot_arrests,rape_tot_arrests,robbery_tot_arrests,theft_tot_arrests,sale_cannabis_tot_arrests,sale_heroin_coke_tot_arrests,sale_other_drug_tot_arrests,sale_synth_narc_tot_arrests,poss_cannabis_tot_arrests,poss_heroin_coke_tot_arrests,poss_other_drug_tot_arrests,poss_synth_narc_tot_arrests,all_other_tot_arrests,curfew_loiter_tot_arrests,disorder_cond_tot_arrests,family_off_tot_arrests,manslaught_neg_tot_arrests,oth_assault_tot_arrests,oth_sex_off_tot_arrests,prostitution_tot_arrests,runaways_tot_arrests,suspicion_tot_arrests,vagrancy_tot_arrests,vandalism_tot_arrests,weapons_tot_arrests
48223,36783,24,0,15,29,0,7,3,50,2,6,36,18,68,14,153,10,253,0,13,20,0,51,9,0,0,0,0,2,18
48225,22962,23,0,5,4,1,1,0,38,1,0,0,0,20,6,18,9,262,0,24,5,0,30,0,0,0,0,0,0,8
48227,36420,47,1,26,42,4,4,6,119,1,14,7,0,57,18,91,5,214,23,22,10,0,96,0,0,42,0,0,29,26
48229,4972,3,0,0,0,0,0,0,6,4,0,3,0,318,26,277,1,126,0,4,0,0,14,0,0,0,0,0,1,2
48231,96536,97,0,18,25,3,2,13,123,4,0,6,1,71,25,57,11,253,0,19,3,0,130,6,0,6,0,0,9,16
48233,20942,10,0,6,4,0,3,0,20,1,3,1,0,24,2,23,80,216,0,45,2,0,69,3,0,0,0,0,7,6
48235,1502,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
48237,8768,6,0,4,3,0,0,1,1,5,0,8,0,28,0,38,4,27,0,1,2,0,27,2,0,0,0,0,2,4
48239,14881,8,2,8,4,0,1,3,28,0,2,1,1,40,9,28,8,48,0,14,6,0,44,1,0,0,0,0,10,3
48241,35659,48,2,54,12,3,5,4,149,0,7,8,0,19,2,34,54,149,0,8,21,0,80,5,0,0,0,0,17,8
48243,2227,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2
48245,253718,227,0,99,97,19,5,54,493,4,21,5,8,260,736,105,50,6224,92,88,22,0,651,9,11,0,0,1,22,229
48247,5210,2,0,0,1,0,0,0,0,1,0,5,0,1,2,14,0,25,0,5,0,0,16,0,0,0,0,0,1,0
48249,39650,66,2,65,8,0,0,6,98,19,14,8,9,105,53,36,40,810,0,5,2,0,265,0,0,0,0,1,52,10
48251,170684,114,0,41,22,1,6,6,186,5,1,4,2,128,51,286,18,345,7,11,7,1,342,4,0,0,0,0,21,32
48253,13998,3,0,14,0,0,1,0,6,11,0,5,16,22,2,17,13,36,0,10,2,0,13,1,0,0,0,0,1,3
48255,15650,21,0,24,10,0,2,1,39,16,16,8,16,12,1,3,1,57,0,12,20,0,81,1,0,0,0,0,5,5
48257,131039,90,0,43,24,1,15,18,385,1,33,37,1,182,95,337,33,727,0,33,6,2,591,8,0,0,0,0,48,19
48259,52035,12,0,7,13,0,4,0,38,5,13,18,0,264,37,152,16,264,0,8,8,0,64,3,0,0,0,0,1,35
48261,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48263,711,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
48265,52432,29,1,10,10,0,10,0,115,4,12,21,52,117,24,115,91,1082,0,0,0,0,144,4,1,2,0,3,9,21
48267,4306,1,0,0,3,0,1,0,1,1,0,0,4,3,2,2,16,67,0,5,0,0,9,0,0,0,0,0,0,1
48269,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48271,3766,5,0,4,0,0,0,0,0,9,0,7,13,1,1,3,0,150,0,2,4,0,3,2,0,0,0,0,0,1
48273,30823,25,0,12,8,2,4,5,56,5,1,2,4,129,57,26,35,783,23,15,2,0,88,4,0,0,0,0,4,2
48275,3622,0,0,3,1,0,1,0,1,0,1,0,0,2,0,0,1,7,0,0,2,0,1,0,0,0,0,0,0,2
48277,49404,71,1,33,15,1,11,11,132,1,5,3,43,161,9,4,130,233,0,27,20,2,160,8,0,1,0,0,28,48
48279,12975,14,0,5,5,0,3,0,11,2,0,0,2,19,8,9,10,41,2,6,1,0,25,0,0,0,0,0,0,6
48281,20607,6,1,7,4,0,3,0,60,7,0,0,0,46,12,90,5,227,9,2,13,0,71,4,0,3,0,0,5,10
48283,6980,11,0,1,0,0,0,0,5,0,0,0,0,24,24,0,0,281,0,9,3,0,30,0,0,0,0,0,0,2
48285,20093,9,0,8,0,1,1,1,18,0,2,0,0,39,3,14,5,33,0,9,1,0,36,0,0,0,0,1,8,2
48287,17107,11,0,9,9,0,1,0,21,2,3,3,1,121,49,49,1,50,0,4,3,0,26,0,0,0,0,0,5,11
48289,16014,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,4,0,3,0,0,0,0,0,0,4
48291,87182,31,3,13,12,4,0,3,145,16,7,17,8,80,21,68,31,358,0,68,1,0,90,0,0,0,0,0,27,20
48293,23373,23,1,11,4,0,5,1,47,2,7,3,1,47,51,22,12,176,1,5,4,0,75,1,0,1,0,0,5,3
48295,3344,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48297,12168,1,0,0,0,0,0,0,2,1,4,2,0,0,4,3,2,6,0,0,1,0,2,0,0,0,0,0,1,1
48299,18627,20,1,5,3,1,0,0,10,1,0,5,4,26,4,49,24,221,0,2,3,0,42,0,0,0,0,0,4,7
48301,164,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
48303,308271,288,9,140,22,5,13,74,1273,16,17,31,3,499,112,437,42,1852,0,75,21,0,1117,4,26,0,0,0,90,78
48305,5836,0,1,0,1,0,0,0,2,0,0,0,0,2,0,8,0,14,0,2,1,0,2,0,0,0,0,0,1,0
48307,7907,4,0,2,2,0,0,0,5,1,0,3,0,8,0,21,0,18,0,0,2,0,13,0,1,0,0,0,1,1
48309,255417,689,3,132,91,7,54,48,1442,6,13,18,1,273,161,480,19,1824,0,161,51,0,663,10,6,8,0,5,131,74
48311,749,0,0,2,0,0,0,0,1,0,0,0,0,7,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
48313,14336,13,0,5,3,0,0,3,6,1,1,2,1,5,9,39,1,53,0,2,2,0,20,0,0,0,0,0,2,2
