,FIPS_Code,Unemployment_rate_2019,Median_Household_Income_2019
350,12073,3.3,55081.0
351,12075,3.9,41405.0
352,12077,3.7,44236.0
353,12079,4.0,37919.0
354,12081,3.3,64151.0
355,12083,4.0,49079.0
356,12085,3.3,70806.0
357,12086,2.6,54991.0
358,12087,2.1,67528.0
359,12089,3.1,72818.0
360,12091,2.8,63520.0
361,12093,3.7,45225.0
362,12095,3.1,63133.0
363,12097,3.5,52270.0
364,12099,3.4,66621.0
365,12101,3.7,55745.0
366,12103,3.2,56708.0
367,12105,3.9,51817.0
368,12107,4.5,41986.0
369,12109,2.8,90839.0
370,12111,4.1,57292.0
371,12113,3.1,66139.0
372,12115,3.3,66258.0
373,12117,3.1,69954.0
374,12119,4.9,63464.0
375,12121,3.5,49453.0
376,12123,3.8,42987.0
377,12125,3.1,50893.0
378,12127,3.6,53554.0
379,12129,3.0,58640.0
380,12131,3.0,62600.0
381,12133,3.6,42518.0
382,13001,4.0,43821.0
383,13003,3.2,38581.0
384,13005,3.7,41807.0
385,13007,4.7,39515.0
386,13009,4.3,44429.0
387,13011,2.8,53481.0
388,13013,2.9,68924.0
389,13015,3.4,60254.0
390,13017,5.6,35931.0
391,13019,4.1,42058.0
392,13021,4.0,43066.0
393,13023,5.2,48115.0
394,13025,4.2,44680.0
395,13027,3.5,39554.0
396,13029,3.0,79296.0
397,13031,3.9,48788.0
398,13033,5.3,42632.0
399,13035,3.4,47410.0
400,13037,3.7,34960.0
401,13039,3.7,58552.0
402,13043,3.0,41665.0
403,13045,3.6,59193.0
404,13047,3.1,60753.0
405,13049,3.9,42891.0
406,13051,3.4,57122.0
407,13053,4.6,46106.0
408,13055,5.1,41561.0
409,13057,2.8,88635.0
410,13059,3.7,41036.0
411,13061,7.0,24732.0
412,13063,4.4,50737.0
413,13065,3.8,42928.0
414,13067,3.1,79622.0
415,13069,4.0,41675.0
416,13071,3.2,41899.0
417,13073,3.1,88285.0
418,13075,3.4,40670.0
419,13077,3.0,79232.0
420,13079,3.7,50411.0
421,13081,3.9,40482.0
422,13083,3.4,45986.0
423,13085,2.9,69155.0
424,13087,3.8,40473.0
425,13089,3.6,63606.0
426,13091,5.5,41118.0
427,13093,3.8,37109.0
428,13095,4.7,36894.0
429,13097,3.7,62915.0
430,13099,4.0,40011.0
431,13101,2.8,40408.0
432,13103,2.9,71628.0
433,13105,4.0,40962.0
434,13107,5.4,38529.0
435,13109,3.4,41425.0
436,13111,3.4,47980.0
437,13113,3.1,94563.0
438,13115,4.0,50520.0
439,13117,2.8,113332.0
440,13119,3.6,47691.0
441,13121,3.6,79235.0
442,13123,3.6,57007.0
443,13125,3.8,49350.0
444,13127,3.5,58017.0
445,13129,3.5,53373.0
446,13131,3.4,42603.0
447,13133,3.9,60973.0
448,13135,3.1,72225.0
449,13137,3.5,51296.0
450,13139,2.9,66698.0
451,13141,5.7,31715.0
452,13143,3.4,49020.0
453,13145,3.1,74052.0
454,13147,3.6,50647.0
455,13149,3.4,48984.0
456,13151,3.7,72927.0
457,13153,3.4,65641.0
458,13155,4.7,42317.0
459,13157,2.7,66645.0
460,13159,3.2,59207.0
461,13161,4.7,40603.0
462,13163,4.9,35379.0
463,13165,5.2,32808.0
464,13167,3.7,37771.0
465,13169,3.3,56819.0
466,13171,4.0,57402.0
467,13173,4.1,42667.0
468,13175,4.6,42018.0
469,13177,3.1,72425.0
470,13179,3.9,51410.0
471,13181,3.9,45299.0
472,13183,3.8,52051.0
473,13185,3.6,46450.0
474,13187,3.3,57078.0
475,13189,5.3,44473.0
476,13191,3.7,46682.0
477,13193,4.7,34634.0
478,13195,3.2,52326.0
479,13197,4.3,41190.0
480,13199,4.7,43571.0
481,13201,3.3,41769.0
482,13205,4.6,37383.0
483,13207,3.3,70488.0
484,13209,5.2,43657.0
485,13211,3.2,67089.0
486,13213,5.2,50061.0
487,13215,4.7,47035.0
488,13217,4.0,58222.0
489,13219,2.6,100878.0
490,13221,3.3,54346.0
491,13223,3.0,76580.0
492,13225,4.2,49815.0
493,13227,3.1,66183.0
494,13229,3.5,46701.0
495,13231,3.1,74905.0
496,13233,3.7,47896.0
497,13235,4.0,42274.0
498,13237,4.4,62282.0
499,13239,5.2,35522.0
500,13241,3.6,46639.0
501,13243,4.9,33505.0
502,13245,4.7,44810.0
503,13247,3.9,60281.0
504,13249,3.9,51129.0
505,13251,5.5,42331.0
506,13253,4.3,38618.0
507,13255,4.1,49237.0
508,13257,3.9,45416.0
509,13259,4.4,34566.0
510,13261,4.9,40250.0
511,13263,4.5,41045.0
512,13265,5.1,37046.0
513,13267,3.9,41457.0
514,13269,4.2,28234.0
515,13271,9.4,36264.0
516,13273,5.1,37122.0
517,13275,4.0,47978.0
518,13277,3.4,47764.0
519,13279,5.0,41442.0
520,13281,4.9,49023.0
521,13283,5.3,37478.0
522,13285,3.2,47296.0
523,13287,3.8,35400.0
524,13289,5.7,44079.0
525,13291,3.2,57049.0
526,13293,3.6,40926.0
527,13295,3.7,47548.0
528,13297,3.2,67007.0
529,13299,3.8,37642.0
530,13301,4.8,37313.0
531,13303,4.2,41674.0
532,13305,4.1,47382.0
533,13307,5.0,41547.0
534,13309,7.4,35927.0
535,13311,2.8,54786.0
536,13313,4.6,53115.0
537,13315,4.5,38261.0
538,13317,4.7,39716.0
539,13319,3.8,43902.0
540,13321,3.9,43142.0
541,15001,3.1,64929.0
542,15003,2.3,86946.0
543,15007,2.4,73029.0
544,15009,2.4,77375.0
545,16001,2.4,72295.0
546,16003,6.5,50042.0
547,16005,2.7,53306.0
548,16007,2.8,54550.0
549,16009,5.0,49303.0
550,16011,2.5,59959.0
551,16013,2.5,75778.0
552,16015,4.1,64443.0
553,16017,4.0,56729.0
554,16019,2.3,65165.0
555,16021,4.2,50709.0
556,16023,2.5,51742.0
557,16025,2.6,56014.0
558,16027,3.0,58670.0
559,16029,2.5,61518.0
560,16031,2.3,53284.0
561,16033,3.5,48726.0
562,16035,6.4,49816.0
563,16037,4.0,49055.0
564,16039,3.1,47796.0
565,16041,2.2,55421.0
566,16043,2.2,56162.0
567,16045,3.1,53733.0
568,16047,2.5,50205.0
569,16049,4.3,48866.0
570,16051,2.2,63078.0
571,16053,2.5,56320.0
572,16055,3.4,62764.0
573,16057,2.5,54999.0
574,16059,4.5,46062.0
575,16061,5.2,45342.0
576,16063,3.4,50608.0
577,16065,1.7,46177.0
578,16067,2.4,56173.0
579,16069,2.7,67645.0
580,16071,2.2,55833.0
581,16073,3.2,48395.0
582,16075,3.4,53643.0
583,16077,2.9,50981.0
584,16079,5.6,39239.0
585,16081,2.1,73637.0
586,16083,2.7,56141.0
587,16085,3.7,64041.0
588,16087,3.9,45813.0
589,17001,3.3,55942.0
590,17003,6.1,37408.0
591,17005,3.7,53447.0
592,17007,5.4,72426.0
593,17009,2.4,60254.0
594,17011,4.5,57935.0
595,17013,4.4,63373.0
596,17015,3.9,56468.0
597,17017,4.0,51011.0
598,17019,3.6,53485.0
599,17021,4.6,51573.0
600,17023,4.5,58323.0
601,17025,4.3,49377.0
602,17027,3.0,67201.0
603,17029,3.8,50467.0
604,17031,4.0,69375.0
605,17033,4.1,50352.0
606,17035,3.3,53991.0
607,17037,3.9,64676.0
608,17039,4.2,59521.0
609,17041,3.4,64283.0
610,17043,3.1,96354.0
611,17045,4.1,51333.0
612,17047,4.1,54930.0
613,17049,3.1,58943.0
614,17051,4.2,48913.0
615,17053,4.1,55369.0
616,17055,5.2,43695.0
617,17057,5.3,50461.0
618,17059,4.8,46515.0
619,17061,4.1,52116.0
620,17063,4.7,83135.0
621,17065,3.7,51031.0
622,17067,4.5,53724.0
623,17069,6.3,44573.0
624,17071,4.5,55535.0
625,17073,4.6,61680.0
626,17075,4.0,51542.0
627,17077,3.6,37308.0
628,17079,4.1,59980.0
629,17081,4.4,50531.0
630,17083,4.2,63351.0
631,17085,3.9,62522.0
632,17087,5.8,55022.0
633,17089,4.3,84311.0
634,17091,4.8,60763.0
635,17093,3.5,105586.0
636,17095,4.7,43404.0
637,17097,3.9,92638.0
638,17099,5.1,59528.0
639,17101,5.3,47114.0
640,17103,3.8,57619.0
641,17105,3.9,54422.0
642,17107,4.2,53806.0
643,17109,4.4,49048.0
644,17111,3.5,89379.0
645,17113,3.6,69230.0
646,17115,5.0,52259.0
647,17117,4.1,54174.0
648,17119,3.7,66591.0
649,17121,4.2,52291.0
650,17123,4.6,63628.0
651,17125,5.1,51967.0
652,17127,5.3,54159.0
653,17129,3.7,77306.0
654,17131,4.8,62241.0
655,17133,2.9,90904.0
656,17135,5.0,51665.0
657,17137,3.8,55937.0
658,17139,3.2,65472.0
659,17141,4.6,63565.0
660,17143,4.9,57717.0
661,17145,4.9,56880.0
662,17147,3.4,72265.0
663,17149,4.2,54309.0
664,17151,5.3,46478.0
665,17153,6.4,38506.0
666,17155,4.9,74367.0
667,17157,3.5,58444.0
668,17159,3.9,49775.0
669,17161,4.8,57772.0
670,17163,4.2,57726.0
671,17165,5.1,48547.0
672,17167,3.9,61768.0
673,17169,4.0,56015.0
674,17171,4.6,61231.0
675,17173,3.7,61376.0
676,17175,5.5,54804.0
677,17177,4.2,51786.0
678,17179,4.2,66206.0
679,17181,5.4,51575.0
680,17183,4.9,46295.0
681,17185,4.0,54249.0
682,17187,3.9,53621.0
683,17189,2.5,64297.0
684,17191,4.6,51829.0
685,17193,3.7,51388.0
686,17195,4.1,50880.0
687,17197,4.0,90249.0
688,17199,4.1,56958.0
689,17201,5.4,59510.0
690,17203,3.6,77117.0
691,18001,2.6,53532.0
692,18003,3.1,56838.0
693,18005,2.4,71181.0
694,18007,3.1,55016.0
695,18009,3.8,46811.0
696,18011,2.4,84137.0
697,18013,3.0,59617.0
698,18015,3.0,58965.0
699,18017,3.4,51777.0
700,18019,3.2,59441.0
701,18021,3.6,54349.0
702,18023,2.6,55336.0
703,18025,4.0,44332.0
704,18027,2.5,56611.0
705,18029,3.5,71351.0
706,18031,2.7,60891.0
707,18033,2.8,59714.0
708,18035,3.8,45912.0
709,18037,2.3,63869.0
710,18039,3.0,55782.0
711,18041,4.6,48499.0
712,18043,3.1,64614.0
713,18045,3.4,55337.0
714,18047,3.3,67315.0
715,18049,3.1,55011.0
716,18051,2.5,61872.0
717,18053,3.6,47509.0
718,18055,4.0,51918.0
719,18057,2.5,107710.0
720,18059,2.8,77905.0
721,18061,3.1,64270.0
722,18063,2.6,85827.0
723,18065,3.2,49293.0
724,18067,3.9,54048.0
725,18069,3.2,54565.0
726,18071,2.6,59472.0
727,18073,3.6,65352.0
728,18075,2.9,49447.0
729,18077,3.3,53378.0
730,18079,3.2,55022.0
731,18081,2.6,74427.0
732,18083,3.0,48760.0
733,18085,2.7,64677.0
734,18087,2.7,70746.0
735,18089,4.8,57280.0
736,18091,4.2,56427.0
737,18093,3.5,56261.0
738,18095,3.6,54145.0
739,18097,3.2,50707.0
740,18099,3.0,53695.0
741,18101,2.6,56735.0
742,18103,3.8,53658.0
743,18105,3.2,53113.0
744,18107,3.0,54366.0
745,18109,3.0,63414.0
746,18111,4.1,61457.0
747,18113,3.0,60980.0
748,18115,3.4,58294.0
749,18117,3.3,47931.0
750,18119,3.9,53387.0
751,18121,3.7,51554.0
752,18123,3.2,53908.0
753,18125,3.2,52378.0
754,18127,3.7,74064.0
755,18129,2.7,68435.0
756,18131,3.0,52432.0
757,18133,3.4,64098.0
758,18135,3.6,50496.0
759,18137,3.1,61219.0
760,18139,2.6,54371.0
761,18141,3.5,53881.0
762,18143,3.5,50571.0
763,18145,2.8,59798.0
764,18147,3.0,59183.0
765,18149,4.2,54001.0
766,18151,2.6,59444.0
767,18153,4.2,53375.0
768,18155,3.2,52482.0
769,18157,2.9,51228.0
770,18159,2.6,69960.0
771,18161,3.2,53866.0
772,18163,3.0,51603.0
773,18165,5.2,50723.0
774,18167,4.3,48082.0
775,18169,3.0,59874.0
776,18171,2.9,64109.0
777,18173,2.8,79644.0
778,18175,3.2,51948.0
779,18177,3.5,47885.0
780,18179,2.7,61636.0
781,18181,2.6,58295.0
782,18183,2.9,67347.0
783,19001,2.3,57977.0
784,19003,1.7,53385.0
785,19005,3.5,56240.0
786,19007,3.6,41672.0
787,19009,2.5,53197.0
788,19011,3.0,70023.0
789,19013,3.2,60010.0
790,19015,2.4,63975.0
791,19017,2.3,67229.0
792,19019,2.8,67906.0
793,19021,2.1,57048.0
794,19023,3.2,57080.0
795,19025,2.6,57007.0
796,19027,2.0,61379.0
797,19029,2.8,53692.0
798,19031,2.5,71029.0
799,19033,2.8,54589.0
800,19035,2.5,59901.0
801,19037,2.9,60111.0
802,19039,2.9,57708.0
803,19041,2.8,57174.0
804,19043,3.7,53223.0
805,19045,3.8,56865.0
806,19047,3.6,58077.0
807,19049,2.0,97535.0
808,19051,2.9,57150.0
809,19053,2.2,44873.0
810,19055,2.4,70091.0
811,19057,4.0,53547.0
812,19059,2.9,66211.0
813,19061,2.7,62481.0
814,19063,2.6,55635.0
815,19065,3.6,53142.0
816,19067,3.6,55369.0
817,19069,2.4,55847.0
818,19071,2.7,60498.0
819,19073,2.4,55562.0
820,19075,2.8,73683.0
821,19077,3.0,64965.0
822,19079,2.9,63234.0
823,19081,2.4,62030.0
824,19083,3.2,57103.0
825,19085,2.5,63901.0
826,19087,2.7,57747.0
827,19089,2.8,58028.0
828,19091,2.7,56695.0
829,19093,2.0,58249.0
830,19095,2.2,66861.0
831,19097,3.2,57687.0
832,19099,3.0,67317.0
833,19101,2.5,51741.0
834,19103,2.0,67295.0
835,19105,3.2,63399.0
836,19107,3.3,54937.0
837,19109,2.2,59568.0
838,19111,4.0,51089.0
839,19113,2.9,64783.0
840,19115,3.1,60544.0
841,19117,2.1,53085.0
842,19119,1.7,66139.0
843,19121,3.7,72578.0
844,19123,2.5,59242.0
845,19125,2.2,66381.0
846,19127,4.5,55631.0
847,19129,2.4,72679.0
848,19131,1.7,61247.0
849,19133,3.0,53104.0
850,19135,3.1,56397.0
851,19137,2.7,52715.0
852,19139,2.9,61767.0
853,19141,2.2,60298.0
854,19143,1.9,60702.0
855,19145,2.6,52179.0
856,19147,2.2,55074.0
857,19149,2.3,69165.0
858,19151,1.9,56146.0
859,19153,2.9,67331.0
860,19155,2.5,60322.0
861,19157,2.7,57741.0
862,19159,2.9,50890.0
863,19161,2.4,59392.0
864,19163,3.4,65724.0
865,19165,2.1,60498.0
866,19167,1.9,71566.0
867,19169,1.8,64151.0
868,19171,3.1,56281.0
869,19173,1.9,51510.0
870,19175,3.2,52914.0
871,19177,2.7,50425.0
872,19179,3.7,50533.0
873,19181,2.6,79557.0
874,19183,2.5,63230.0
875,19185,2.6,49962.0
876,19187,3.1,53344.0
877,19189,2.8,50258.0
878,19191,2.9,65482.0
879,19193,2.7,58419.0
880,19195,2.8,60139.0
881,19197,2.6,54251.0
882,20001,3.5,46690.0
883,20003,3.3,51352.0
884,20005,5.2,51860.0
885,20007,2.5,50660.0
886,20009,3.1,50754.0
887,20011,4.2,47452.0
888,20013,3.1,47558.0
889,20015,3.2,66199.0
890,20017,2.7,51022.0
891,20019,3.8,43664.0
892,20021,3.4,47682.0
893,20023,2.4,47323.0
894,20025,2.3,59085.0
895,20027,3.2,52781.0
896,20029,3.2,46299.0
897,20031,4.5,62715.0
898,20033,2.6,47854.0
899,20035,3.3,51537.0
900,20037,3.8,42723.0
901,20039,3.0,46878.0
902,20041,3.5,58066.0
903,20043,3.3,52596.0
904,20045,2.9,62559.0
905,20047,2.5,49047.0
906,20049,3.7,41930.0
907,20051,2.3,51237.0
908,20053,2.8,56988.0
909,20055,2.3,57412.0
910,20057,2.5,54604.0
911,20059,3.3,55984.0
912,20061,4.3,58978.0
913,20063,2.1,52986.0
914,20065,3.0,48912.0
915,20067,2.8,65178.0
916,20069,2.0,69077.0
917,20071,2.2,58492.0
918,20073,3.2,44876.0
919,20075,1.9,55857.0
920,20077,2.5,47540.0
921,20079,2.9,62961.0
922,20081,2.2,62477.0
923,20083,2.4,58360.0
924,20085,2.9,60615.0
925,20087,3.1,68549.0
926,20089,2.8,46017.0
