,FIPS,pct_less_HS,pct_HS,pct_some_college,pct_college
265,8014,3.1,14.5,26.7,55.7
266,8015,6.5,27.0,32.7,33.8
267,8017,8.4,36.8,35.7,19.2
268,8019,1.4,21.9,28.7,48.1
269,8021,12.0,33.9,33.0,21.0
270,8023,19.0,24.5,37.2,19.3
271,8025,13.9,42.6,34.5,9.0
272,8027,6.4,20.8,40.3,32.5
273,8029,9.3,38.3,30.7,21.7
274,8031,12.0,16.8,21.7,49.4
275,8033,6.2,36.2,33.5,24.1
276,8035,1.9,12.0,28.1,58.0
277,8037,11.7,15.2,25.9,47.2
278,8039,3.3,24.1,36.8,35.8
279,8041,5.8,20.4,35.3,38.5
280,8043,9.9,39.3,32.3,18.5
281,8045,11.9,27.0,30.1,31.0
282,8047,1.5,21.4,37.5,39.6
283,8049,5.4,26.8,29.8,38.0
284,8051,2.6,15.9,25.3,56.2
285,8053,6.3,22.8,25.3,45.7
286,8055,7.6,29.6,41.6,21.1
287,8057,12.6,28.1,39.2,20.0
288,8059,5.5,20.3,29.1,45.2
289,8061,4.3,35.6,38.7,21.4
290,8063,10.5,37.6,33.2,18.7
291,8065,16.3,25.8,25.6,32.3
292,8067,4.5,20.0,31.3,44.2
293,8069,4.1,19.0,29.6,47.3
294,8071,12.1,29.5,38.8,19.5
295,8073,9.1,54.5,23.9,12.6
296,8075,10.4,33.7,35.6,20.2
297,8077,9.5,27.6,34.7,28.2
298,8079,2.6,15.8,35.2,46.5
299,8081,11.3,38.8,32.4,17.6
300,8083,10.0,29.3,31.2,29.6
301,8085,11.0,31.4,32.4,25.2
302,8087,21.1,31.3,30.1,17.5
303,8089,12.8,31.9,36.7,18.6
304,8091,2.2,15.9,34.1,47.8
305,8093,2.3,30.9,37.0,29.8
306,8095,11.5,33.1,31.6,23.8
307,8097,3.1,17.0,19.1,60.8
308,8099,19.5,26.1,36.1,18.3
309,8101,10.3,29.1,38.8,21.8
310,8103,8.1,31.5,37.6,22.7
311,8105,13.0,32.1,30.5,24.5
312,8107,3.2,20.2,26.8,49.8
313,8109,16.9,30.5,30.4,22.1
314,8111,6.2,25.8,32.4,35.7
315,8113,3.2,15.3,22.1,59.4
316,8115,13.0,29.1,38.4,19.5
317,8117,7.1,18.0,22.6,52.4
318,8119,2.8,23.2,36.3,37.7
319,8121,8.1,34.5,42.0,15.4
320,8123,11.9,27.3,33.2,27.5
321,8125,11.4,34.4,32.4,21.8
322,9000,9.4,26.9,24.5,39.3
323,9001,10.0,21.5,20.6,47.9
324,9003,10.3,26.6,25.0,38.1
325,9005,7.0,29.9,27.7,35.4
326,9007,5.8,25.8,26.2,42.2
327,9009,9.9,30.7,24.4,35.0
328,9011,7.7,29.5,29.5,33.3
329,9013,5.0,27.0,26.2,41.8
330,9015,11.6,33.2,30.9,24.3
331,10000,10.0,31.3,26.7,32.0
332,10001,12.6,32.9,30.8,23.7
333,10003,8.4,30.8,24.6,36.2
334,10005,11.9,31.2,28.7,28.3
335,11000,9.1,16.8,15.5,58.5
336,11001,9.1,16.8,15.5,58.5
